spike_timestamp,lse_ticker,yahoo_ticker,spike_multiple_21d,spike_multiple_63d,volume_on_spike_date,avg_volume_21d,avg_volume_63d,buys_12m_before,sells_12m_before,buy_sell_ratio,net_value_12m_before,created_at,setup_id
2024-07-30 00:00:00,DGE,DGE.L,2.78,2.69,9276148,3333278,3447653,115,0,1.0,0.0,2025-06-23 23:40:17.525,DGE_2024-07-30
2024-09-12 00:00:00,DGE,DGE.L,2.38,1.94,6479218,2722946,3344647,111,4,0.9652174,0.0,2025-06-23 23:40:17.575,DGE_2024-09-12
2024-09-20 00:00:00,DGE,DGE.L,2.36,2.34,7793076,3307721,3328096,111,4,0.9652174,0.0,2025-06-23 23:40:17.624,DGE_2024-09-20
2024-12-05 00:00:00,DGE,DGE.L,2.35,2.23,8539820,3640393,3824414,101,4,0.96190476,0.0,2025-06-23 23:40:17.672,DGE_2024-12-05
2025-02-28 00:00:00,DGE,DGE.L,2.14,2.19,8391211,3923225,3825171,100,4,0.96153843,0.0,2025-06-23 23:40:17.72,DGE_2025-02-28
2024-09-24 00:00:00,DGE,DGE.L,2.11,2.15,7378143,3492462,3428358,111,4,0.9652174,0.0,2025-06-23 23:40:17.769,DGE_2024-09-24
2025-01-09 00:00:00,MSLH,MSLH.L,6.77,5.4,3459826,511006,640525,12,2,0.85714287,0.0,2025-06-23 23:40:18,MSLH_2025-01-09
2024-11-06 00:00:00,MSLH,MSLH.L,4.29,5.58,2681093,625471,480163,7,2,0.7777778,0.0,2025-06-23 23:40:18.048,MSLH_2024-11-06
2024-07-03 00:00:00,MSLH,MSLH.L,4.0,2.94,1641432,410484,557555,12,2,0.85714287,0.0,2025-06-23 23:40:18.098,MSLH_2024-07-03
2025-01-15 00:00:00,MSLH,MSLH.L,3.67,3.67,2721490,742209,742094,15,2,0.88235295,0.0,2025-06-23 23:40:18.241,MSLH_2025-01-15
2024-10-16 00:00:00,MSLH,MSLH.L,3.6,3.27,1389176,386240,424664,10,2,0.8333333,0.0,2025-06-23 23:40:18.289,MSLH_2024-10-16
2024-10-31 00:00:00,MSLH,MSLH.L,3.58,4.16,1912167,534392,459477,7,2,0.7777778,0.0,2025-06-23 23:40:18.338,MSLH_2024-10-31
2025-01-21 00:00:00,MSLH,MSLH.L,3.56,4.47,3590172,1007513,804064,15,2,0.88235295,0.0,2025-06-23 23:40:18.395,MSLH_2025-01-21
2025-01-16 00:00:00,MSLH,MSLH.L,3.53,3.94,3052425,863905,775238,15,2,0.88235295,0.0,2025-06-23 23:40:18.445,MSLH_2025-01-16
2025-01-15 00:00:00,HWDN,HWDN.L,7.18,5.69,6487263,903555,1139877,22,1,0.95652175,0.0,2025-06-23 23:40:19.446,HWDN_2025-01-15
2024-07-09 00:00:00,HWDN,HWDN.L,5.69,5.14,7747254,1361160,1508566,16,1,0.9411765,0.0,2025-06-23 23:40:19.49,HWDN_2024-07-09
2024-08-12 00:00:00,HWDN,HWDN.L,4.18,3.69,5525733,1323335,1497578,16,1,0.9411765,0.0,2025-06-23 23:40:19.537,HWDN_2024-08-12
